Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,64,12,T:System.Drawing.GraphicsUnit,,,,,"this.label1.Font = new System.Drawing.Font(""Microsoft Sans Serif"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,64,12,T:System.Drawing.GraphicsUnit,,,,,"this.label1.Font = new System.Drawing.Font(""Microsoft Sans Serif"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,64,12,F:System.Drawing.GraphicsUnit.Point,,,,,"this.label1.Font = new System.Drawing.Font(""Microsoft Sans Serif"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,64,12,T:System.Drawing.FontStyle,,,,,"this.label1.Font = new System.Drawing.Font(""Microsoft Sans Serif"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,64,12,T:System.Drawing.FontStyle,,,,,"this.label1.Font = new System.Drawing.Font(""Microsoft Sans Serif"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,64,12,F:System.Drawing.FontStyle.Regular,,,,,"this.label1.Font = new System.Drawing.Font(""Microsoft Sans Serif"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,64,12,T:System.Drawing.Font,,,,,"this.label1.Font = new System.Drawing.Font(""Microsoft Sans Serif"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,64,12,"M:System.Drawing.Font.#ctor(System.String,System.Single,System.Drawing.FontStyle,System.Drawing.GraphicsUnit,System.Byte)",,,,,"this.label1.Font = new System.Drawing.Font(""Microsoft Sans Serif"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,64,12,T:System.Windows.Forms.Label,,,,,"this.label1.Font = new System.Drawing.Font(""Microsoft Sans Serif"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,64,12,T:System.Drawing.Font,,,,,"this.label1.Font = new System.Drawing.Font(""Microsoft Sans Serif"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,64,12,P:System.Windows.Forms.Control.Font,,,,,"this.label1.Font = new System.Drawing.Font(""Microsoft Sans Serif"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,63,12,T:System.Windows.Forms.Label,,,,,this.label1.AutoSize = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,63,12,P:System.Windows.Forms.Label.AutoSize,,,,,this.label1.AutoSize = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,59,12,T:System.Windows.Forms.ImageList,,,,,"this.imageList1.Images.SetKeyName(2, ""folder-open.png"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,59,12,T:System.Windows.Forms.ImageList.ImageCollection,,,,,"this.imageList1.Images.SetKeyName(2, ""folder-open.png"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,59,12,P:System.Windows.Forms.ImageList.Images,,,,,"this.imageList1.Images.SetKeyName(2, ""folder-open.png"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,59,12,"M:System.Windows.Forms.ImageList.ImageCollection.SetKeyName(System.Int32,System.String)",,,,,"this.imageList1.Images.SetKeyName(2, ""folder-open.png"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,58,12,T:System.Windows.Forms.ImageList,,,,,"this.imageList1.Images.SetKeyName(1, ""folder-close.png"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,58,12,T:System.Windows.Forms.ImageList.ImageCollection,,,,,"this.imageList1.Images.SetKeyName(1, ""folder-close.png"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,58,12,P:System.Windows.Forms.ImageList.Images,,,,,"this.imageList1.Images.SetKeyName(1, ""folder-close.png"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,58,12,"M:System.Windows.Forms.ImageList.ImageCollection.SetKeyName(System.Int32,System.String)",,,,,"this.imageList1.Images.SetKeyName(1, ""folder-close.png"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,57,12,T:System.Windows.Forms.ImageList,,,,,"this.imageList1.Images.SetKeyName(0, ""file-default.png"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,57,12,T:System.Windows.Forms.ImageList.ImageCollection,,,,,"this.imageList1.Images.SetKeyName(0, ""file-default.png"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,57,12,P:System.Windows.Forms.ImageList.Images,,,,,"this.imageList1.Images.SetKeyName(0, ""file-default.png"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,57,12,"M:System.Windows.Forms.ImageList.ImageCollection.SetKeyName(System.Int32,System.String)",,,,,"this.imageList1.Images.SetKeyName(0, ""file-default.png"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,56,12,T:System.Windows.Forms.ImageList,,,,,this.imageList1.TransparentColor = System.Drawing.Color.Transparent;
